Словникова форма,част. мови,абс. частота,відн. частота
і,спол.,1 082 616,1
не,частка,907 385,1
на,прийм.,782 428,1
що,займ.,658 945,2
я,займ.,647 169,2
в,прийм.,618 588,2
з,прийм.,575 547,2
а,спол.,481 997,2
у,прийм.,440 670,2
цей,займ.,414 788,2
й,спол.,413 025,2
до,прийм.,406 624,2
вона,займ.,370 425,3
як,присл.,317 556,3
бути,діє. н.в.,304 133,3
за,прийм.,247 155,3
ти,займ.,244 208,3
та,спол.,241 244,3
вони,займ.,237 330,3
ми,займ.,201 073,3
свій,займ.,197 318,3
але,спол.,188 718,4
так,присл.,186 878,4
який,займ.,168 929,4
ви,займ.,163 600,4
ж,частка,156 285,4
ще,присл.,145 176,4
про,прийм.,144 646,4
від,прийм.,142 845,4
то,спол.,136 175,4
було,вставне слово,134 610,4
коли,присл.,129 527,4
такий,займ.,120 790,4
вже,присл.,117 443,4
по,прийм.,112 601,4
чи,спол.,109 846,4
знати,діє. н.в.,109 607,4
один,числ.,105 668,4
сказати,діє. д.в.,105 492,4
мій,займ.,102 540,4
тільки,присл.,96 265,4
рука,ім.,90 061,5
той,займ.,89 610,5
для,прийм.,89 589,5
щоб,спол.,85 042,5
око,ім.,84 769,5
із,прийм.,84 397,5
бо,спол.,81 266,5
ні,частка,80 760,5
тут,присл.,78 115,5
могти,діє. н.в.,77 247,5
наш,займ.,77 166,5
себе,займ.,76 658,5
хто,займ.,73 337,5
б,частка,72 527,5
під,прийм.,71 939,5
час,ім.,70 604,5
там,присл.,70 526,5
може,вставне слово,70 036,5
де,присл.,68 673,5
він,займ.,67 480,5
хотіти,діє. н.в.,63 873,5
того,присл.,63 663,5
навіть,частка,62 460,5
казати,діє. н.в.,62 335,5
інший,займ.,61 351,5
те,частка,60 048,5
якийсь,займ.,59 666,5
тепер,присл.,59 423,5
тоді,присл.,59 327,5
увесь,займ.,57 333,5
голова,ім.,56 987,5
бачити,діє. н.в.,54 954,5
треба,присудкове слово,54 262,5
тому,присл.,53 013,5
слово,ім.,52 248,5
земля,ім.,51 625,5
великий,прикм.,50 660,5
щось,присл.,49 363,5
собі,частка,49 358,5
сам,займ.,49 141,5
життя,ім.,46 822,6
ну,частка,46 691,6
піти,діє. д.в.,45 889,6
дуже,присл.,44 929,6
стояти,діє. н.в.,44 212,6
нічого,присудкове слово,44 206,6
би,частка,43 373,6
перед,прийм.,43 272,6
потім,присл.,42 787,6
лише,спол.,42 311,6
можна,присудкове слово,41 760,6
над,прийм.,41 455,6
без,прийм.,40 996,6
хоч,спол.,40 534,6
через,прийм.,39 995,6
уже,частка,39 322,6
знову,присл.,39 250,6
дивитися,діє. н.в.,39 183,6
аж,частка,38 967,6
думати,діє. н.в.,38 928,6
день,ім.,38 754,6
почати,діє. д.в.,37 473,6
перший,прикм.,37 143,6
йти,діє. н.в.,36 819,6
старий,прикм.,34 492,6
жінка,ім.,34 296,6
нога,ім.,34 080,6
ось,присл.,34 009,6
більше,присл.,33 994,6
зараз,присл.,33 984,6
якщо,спол.,33 965,6
або,спол.,33 941,6
просто,присл.,33 400,6
от,частка,33 373,6
сила,ім.,33 067,6
людина,ім.,32 771,6
мати,діє. н.в.,32 562,6
побачити,діє. д.в.,32 558,6
місце,ім.,32 483,6
робити,діє. н.в.,32 445,6
український,прикм.,32 290,6
здаватися,діє. н.в.,32 280,6
твій,займ.,32 254,6
новий,прикм.,32 248,6
біля,прийм.,32 134,6
після,присл.,32 042,6
два,числ.,31 989,6
ніби,спол.,31 816,6
теж,присл.,31 039,6
говорити,діє. н.в.,31 022,6
саме,присл.,30 881,6
ваш,займ.,30 494,6
рік,ім.,30 492,6
же,частка,30 473,6
зробити,діє. д.в.,30 356,6
чому,присл.,30 170,6
чоловік,ім.,29 993,6
добре,присл.,29 755,6
далі,присл.,29 734,6
зі,прийм.,29 515,6
сидіти,діє. н.в.,29 434,6
їхній,займ.,29 129,6
зовсім,присл.,28 812,6
обличчя,ім.,28 507,6
голос,ім.,28 436,6
вийти,діє. д.в.,28 351,6
двері,ім.,28 106,6
другий,пор. числ.,28 041,6
чути,діє. н.в.,27 889,6
думка,ім.,27 486,6
чорний,прикм.,27 469,6
батько,ім.,27 330,6
трохи,присл.,27 149,6
раз,присл.,26 898,6
серце,ім.,26 772,6
